"@timestamp","_id","_index","_score","container.image.name","container.image.name.keyword","input.type","input.type.keyword","kubernetes.container.name","kubernetes.container.name.keyword","kubernetes.namespace","kubernetes.namespace.keyword","kubernetes.node.hostname","kubernetes.node.hostname.keyword","kubernetes.node.name","kubernetes.node.name.keyword","kubernetes.pod.ip","kubernetes.pod.ip.keyword","kubernetes.pod.name","kubernetes.pod.name.keyword","kubernetes.replicaset.name","kubernetes.replicaset.name.keyword",message,"message.keyword",tags,"tags.keyword"
"Jan 23, 2026 @ 09:42:29.753","UauE6JsBE7rYD0G3aBb_","k8s-prod-promotion-event-service-20260123","-","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754",container,container,"promotion-event-service","promotion-event-service",prod,prod,"cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","10.224.60.235","10.224.60.235","promotion-event-service-66f4547c7c-khhzv","promotion-event-service-66f4547c7c-khhzv","promotion-event-service-66f4547c7c","promotion-event-service-66f4547c7c","handlePaymentConversion: {""appid"":""maka"",""uid"":604961014,""conversionTime"":1769132549238,""payAmount"":8800,""orderId"":""210002721938943""}","handlePaymentConversion: {""appid"":""maka"",""uid"":604961014,""conversionTime"":1769132549238,""payAmount"":8800,""orderId"":""210002721938943""}","_geoip_expired_database","_geoip_expired_database"
"Jan 23, 2026 @ 09:41:34.823",H6qD6JsBE7rYD0G3lbIa,"k8s-prod-promotion-event-service-20260123","-","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754",container,container,"promotion-event-service","promotion-event-service",prod,prod,"cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","10.224.60.235","10.224.60.235","promotion-event-service-66f4547c7c-khhzv","promotion-event-service-66f4547c7c-khhzv","promotion-event-service-66f4547c7c","promotion-event-service-66f4547c7c","handlePaymentConversion: {""appid"":""jiantie"",""uid"":605644517,""conversionTime"":1769132487000,""payAmount"":2900,""orderId"":""260002735728263""}","handlePaymentConversion: {""appid"":""jiantie"",""uid"":605644517,""conversionTime"":1769132487000,""payAmount"":2900,""orderId"":""260002735728263""}","_geoip_expired_database","_geoip_expired_database"
"Jan 23, 2026 @ 09:38:46.318","fqmA6JsBE7rYD0G3_nL9","k8s-prod-promotion-event-service-20260123","-","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754",container,container,"promotion-event-service","promotion-event-service",prod,prod,"cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","10.224.14.84","10.224.14.84","promotion-event-service-66f4547c7c-qphs2","promotion-event-service-66f4547c7c-qphs2","promotion-event-service-66f4547c7c","promotion-event-service-66f4547c7c","handlePaymentConversion: {""appid"":""jiantie"",""uid"":605644527,""conversionTime"":1769132325615,""payAmount"":2900,""orderId"":""20260123013834850838268250531""}","handlePaymentConversion: {""appid"":""jiantie"",""uid"":605644527,""conversionTime"":1769132325615,""payAmount"":2900,""orderId"":""20260123013834850838268250531""}","_geoip_expired_database","_geoip_expired_database"
"Jan 23, 2026 @ 09:35:58.196","I95-6JsB2nafT53keyAn","k8s-prod-promotion-event-service-20260123","-","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754",container,container,"promotion-event-service","promotion-event-service",prod,prod,"cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","10.224.60.235","10.224.60.235","promotion-event-service-66f4547c7c-khhzv","promotion-event-service-66f4547c7c-khhzv","promotion-event-service-66f4547c7c","promotion-event-service-66f4547c7c","handlePaymentConversion: {""appid"":""jiantie"",""uid"":605625292,""conversionTime"":1769132157371,""payAmount"":2900,""orderId"":""20260123013542505801955266552""}","handlePaymentConversion: {""appid"":""jiantie"",""uid"":605625292,""conversionTime"":1769132157371,""payAmount"":2900,""orderId"":""20260123013542505801955266552""}","_geoip_database_unavailable_GeoLite2-City.mmdb","_geoip_database_unavailable_GeoLite2-City.mmdb"
"Jan 23, 2026 @ 09:33:15.219","mN176JsB2nafT53k9nA-","k8s-prod-promotion-event-service-20260123","-","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754",container,container,"promotion-event-service","promotion-event-service",prod,prod,"cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","10.224.60.235","10.224.60.235","promotion-event-service-66f4547c7c-khhzv","promotion-event-service-66f4547c7c-khhzv","promotion-event-service-66f4547c7c","promotion-event-service-66f4547c7c","handlePaymentConversion: {""appid"":""jiantie"",""uid"":605644511,""conversionTime"":1769131989000,""payAmount"":2900,""orderId"":""140003380085781""}","handlePaymentConversion: {""appid"":""jiantie"",""uid"":605644511,""conversionTime"":1769131989000,""payAmount"":2900,""orderId"":""140003380085781""}","_geoip_database_unavailable_GeoLite2-City.mmdb","_geoip_database_unavailable_GeoLite2-City.mmdb"
"Jan 23, 2026 @ 09:32:55.740",39176JsB2nafT53kqFwf,"k8s-prod-promotion-event-service-20260123","-","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754",container,container,"promotion-event-service","promotion-event-service",prod,prod,"cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","10.224.60.235","10.224.60.235","promotion-event-service-66f4547c7c-khhzv","promotion-event-service-66f4547c7c-khhzv","promotion-event-service-66f4547c7c","promotion-event-service-66f4547c7c","handlePaymentConversion: {""appid"":""jiantie"",""uid"":605612280,""conversionTime"":1769131975006,""payAmount"":2900,""orderId"":""20260123013246994857229383413""}","handlePaymentConversion: {""appid"":""jiantie"",""uid"":605612280,""conversionTime"":1769131975006,""payAmount"":2900,""orderId"":""20260123013246994857229383413""}","_geoip_database_unavailable_GeoLite2-City.mmdb","_geoip_database_unavailable_GeoLite2-City.mmdb"
"Jan 23, 2026 @ 09:31:46.187",7t166JsB2nafT53kqA9B,"k8s-prod-promotion-event-service-20260123","-","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754",container,container,"promotion-event-service","promotion-event-service",prod,prod,"cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","10.224.14.84","10.224.14.84","promotion-event-service-66f4547c7c-qphs2","promotion-event-service-66f4547c7c-qphs2","promotion-event-service-66f4547c7c","promotion-event-service-66f4547c7c","handlePaymentConversion: {""appid"":""jiantie"",""uid"":605612280,""conversionTime"":1769131905590,""payAmount"":2900,""orderId"":""20260123013136119757960227812""}","handlePaymentConversion: {""appid"":""jiantie"",""uid"":605612280,""conversionTime"":1769131905590,""payAmount"":2900,""orderId"":""20260123013136119757960227812""}","_geoip_database_unavailable_GeoLite2-City.mmdb","_geoip_database_unavailable_GeoLite2-City.mmdb"
"Jan 23, 2026 @ 09:31:30.076",Ydx66JsB2nafT53kWvaI,"k8s-prod-promotion-event-service-20260123","-","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754",container,container,"promotion-event-service","promotion-event-service",prod,prod,"cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","10.224.14.84","10.224.14.84","promotion-event-service-66f4547c7c-qphs2","promotion-event-service-66f4547c7c-qphs2","promotion-event-service-66f4547c7c","promotion-event-service-66f4547c7c","handlePaymentConversion: {""appid"":""jiantie"",""uid"":605644458,""conversionTime"":1769131889408,""payAmount"":2900,""orderId"":""20260123013114431825733669170""}","handlePaymentConversion: {""appid"":""jiantie"",""uid"":605644458,""conversionTime"":1769131889408,""payAmount"":2900,""orderId"":""20260123013114431825733669170""}","_geoip_database_unavailable_GeoLite2-City.mmdb","_geoip_database_unavailable_GeoLite2-City.mmdb"
"Jan 23, 2026 @ 09:28:16.534","vFN36JsBSDZmQnhAa_zE","k8s-prod-promotion-event-service-20260123","-","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754",container,container,"promotion-event-service","promotion-event-service",prod,prod,"cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","cn-beijing.172.16.50.210","10.224.60.235","10.224.60.235","promotion-event-service-66f4547c7c-khhzv","promotion-event-service-66f4547c7c-khhzv","promotion-event-service-66f4547c7c","promotion-event-service-66f4547c7c","handlePaymentConversion: {""appid"":""jiantie"",""uid"":605644495,""conversionTime"":1769131695811,""payAmount"":2900,""orderId"":""20260123012801393094086467099""}","handlePaymentConversion: {""appid"":""jiantie"",""uid"":605644495,""conversionTime"":1769131695811,""payAmount"":2900,""orderId"":""20260123012801393094086467099""}","_geoip_database_unavailable_GeoLite2-City.mmdb","_geoip_database_unavailable_GeoLite2-City.mmdb"
"Jan 23, 2026 @ 09:25:22.815","lFJ06JsBSDZmQnhA0-RK","k8s-prod-promotion-event-service-20260123","-","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754","svc.maka.mobi:84/maka/promotion-event-service:prod-20260121122754",container,container,"promotion-event-service","promotion-event-service",prod,prod,"cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","cn-beijing.172.16.56.4","10.224.14.84","10.224.14.84","promotion-event-service-66f4547c7c-qphs2","promotion-event-service-66f4547c7c-qphs2","promotion-event-service-66f4547c7c","promotion-event-service-66f4547c7c","handlePaymentConversion: {""appid"":""maka"",""uid"":1563378,""conversionTime"":1769131522398,""payAmount"":4800,""orderId"":""600002424183061""}","handlePaymentConversion: {""appid"":""maka"",""uid"":1563378,""conversionTime"":1769131522398,""payAmount"":4800,""orderId"":""600002424183061""}","_geoip_database_unavailable_GeoLite2-City.mmdb","_geoip_database_unavailable_GeoLite2-City.mmdb"
